f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_mode,guard_fired,guard_amt,rho_before,rho_after
0.7058823529411765,0.7482121547872826,0.7788690476190476,0.96875,0.04562433425160698,0.0481542699724518,OSULeaf,2,20,20.8,8,158,guide=gpf | walk=aligned,0.647,1,427,1.5999999999999999,64,2.0,rf,5.099824578939053,0.27035870089905056,1.160823144531993,0.04888613861386139,40.1,0.0,,,,,
0.7058823529411765,0.7482121547872826,0.7788690476190476,0.96875,0.04562433425160698,0.0481542699724518,OSULeaf,2,20,20.8,8,158,guide=gpf | walk=aligned | guard-shrink,0.647,1,427,1.5999999999999999,64,2.0,rf,5.099824578939053,0.27035870089905056,1.160823144531993,0.04888613861386139,40.9,1.0,shrink,0.0,1.0,1.16,1.16
0.7058823529411765,0.7482121547872826,0.7788690476190476,0.96875,0.04562433425160698,0.0481542699724518,OSULeaf,2,20,20.8,8,158,guide=gpf | walk=aligned | guard-trim,0.647,1,427,1.5999999999999999,64,2.0,rf,5.099824578939053,0.27035870089905056,1.160823144531993,0.04888613861386139,41.6,1.0,trim,0.0,0.0,1.16,1.16
0.6382978723404256,0.6846531968814576,0.734375,0.9651041666666668,0.051001790633608816,0.04778236914600552,OSULeaf,2,20,20.8,8,158,guide=sig | walk=aligned,0.647,1,427,1.5999999999999999,64,2.0,rf,9.237199156426552,0.5108889321087533,0.5279561669200304,0.04888613861386139,43.3,0.0,,,,,
0.6382978723404256,0.6846531968814576,0.734375,0.9651041666666668,0.051001790633608816,0.04778236914600552,OSULeaf,2,20,20.8,8,158,guide=sig | walk=aligned | guard-shrink,0.647,1,427,1.5999999999999999,64,2.0,rf,9.237199156426552,0.5108889321087533,0.5279561669200304,0.04888613861386139,44.0,1.0,shrink,0.0,1.0,0.53,0.53
0.6382978723404256,0.6846531968814576,0.734375,0.9651041666666668,0.051001790633608816,0.04778236914600552,OSULeaf,2,20,20.8,8,158,guide=sig | walk=aligned | guard-trim,0.647,1,427,1.5999999999999999,64,2.0,rf,9.237199156426552,0.5108889321087533,0.5279561669200304,0.04888613861386139,44.7,1.0,trim,0.0,0.0,0.53,0.53
0.0425531914893617,0.15221485181647873,0.5097691709172646,0.8390968559983861,0.042553986928104574,0.01268235294117647,Handwriting,0,5,14.0,10,130,none,0.218,3,152,1.7999999999999998,64,2.0,rf,,,,,,,,,,,
0.19672131147540983,0.3707560054287876,0.5623324976225469,0.8862280625918562,0.044474797385620914,0.05058039215686274,Handwriting,0,5,14.0,10,130,SMOTE-raw,0.218,3,152,1.7999999999999998,64,2.0,rf,1.3105499733367143,0.13312789159176752,0.5254716001120217,,,,,,,,
0.3283582089552239,0.5016901780809141,0.6198524538197747,0.857986801533097,0.04908149019607844,0.07159215686274509,Handwriting,0,5,14.0,10,130,guide=gpf | walk=aligned,0.218,3,152,1.7999999999999998,64,2.0,rf,2.9736799219986683,0.1956772742318239,1.4488304671541032,0.0655241935483871,8.5,0.0,,,,,
0.3283582089552239,0.5016901780809141,0.6198524538197747,0.857986801533097,0.04908149019607844,0.07159215686274509,Handwriting,0,5,14.0,10,130,guide=gpf | walk=aligned | guard-shrink,0.218,3,152,1.7999999999999998,64,2.0,rf,2.9736799219986683,0.1956772742318239,1.4488304671541032,0.0655241935483871,9.3,1.0,shrink,0.0,1.0,1.45,1.45
