f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard
0.7945205479452054,0.9243723739458496,0.9245535714285714,0.9767113095238095,0.04518989898989899,0.04044077134986227,OSULeaf,1,5,5.0,33,133,guide=gpf | walk=aligned,0.647,1,427,1.7999999999999998,32,2.0,rf,1.9988658432784163,0.1768565611272287,1.2786275576203614,0.2078125,8.4,0.0
0.7945205479452054,0.9243723739458496,0.9245535714285714,0.979985119047619,0.050174517906336084,0.07301652892561984,OSULeaf,1,5,5.0,33,133,guide=sig | walk=aligned,0.647,1,427,1.7999999999999998,32,2.0,rf,4.108322397596792,0.29578242247796405,1.7782229081296836,0.15985576923076922,11.2,0.0
0.7368421052631579,0.8023403267940606,0.8186011904761905,0.9714285714285715,0.04397093663911846,0.04188705234159781,OSULeaf,1,10,9.8,17,149,none,0.647,1,427,1.7999999999999998,32,2.0,rf,,,,,,
0.7441860465116279,0.9461702252967461,0.9476190476190476,0.9832589285714286,0.06314545454545453,0.1158953168044077,OSULeaf,1,10,9.8,17,149,SMOTE-raw,0.647,1,427,1.7999999999999998,32,2.0,rf,1.607190030194916,0.12347532430792574,0.9144530083993255,,,
0.7647058823529411,0.8796644381862461,0.8824404761904762,0.9801339285714286,0.03985872359963269,0.03166666666666667,OSULeaf,1,10,9.8,17,149,guide=gpf | walk=aligned,0.647,1,427,1.7999999999999998,32,2.0,rf,3.2514303945451726,0.23485343535791836,1.9449875600624928,0.06651785714285714,28.2,0.0
0.8656716417910447,0.9382734904371661,0.9388392857142858,0.9904017857142856,0.03584329660238752,0.06172176308539945,OSULeaf,1,10,9.8,17,149,guide=sig | walk=aligned,0.647,1,427,1.7999999999999998,32,2.0,rf,3.0231854508995095,0.21073973210667774,2.012149618194781,0.04901315789473684,39.2,0.0
0.7407407407407407,0.7867957924694432,0.8077380952380953,0.9773065476190477,0.04416919191919192,0.040730027548209376,OSULeaf,1,20,20.8,8,158,none,0.647,1,427,1.5999999999999999,32,2.0,rf,,,,,,
0.7160493827160493,0.9055056466916571,0.9055059523809523,0.9523809523809524,0.08777828282828283,0.1393801652892562,OSULeaf,1,20,20.8,8,158,SMOTE-raw,0.647,1,427,1.5999999999999999,32,2.0,rf,3.2459736336213023,0.1997981247344961,0.8825535135526789,,,
0.7636363636363637,0.806225774829855,0.8233630952380953,0.9774553571428571,0.040368273645546376,0.027699724517906338,OSULeaf,1,20,20.8,8,158,guide=gpf | walk=aligned,0.647,1,427,1.5999999999999999,32,2.0,rf,10.823248688693425,0.5192685028655364,2.3945608288059295,0.04888613861386139,42.8,0.0
0.7017543859649122,0.7811011763011547,0.8005952380952381,0.9677083333333334,0.05157020202020202,0.03420110192837466,OSULeaf,1,20,20.8,8,158,guide=sig | walk=aligned,0.647,1,427,1.5999999999999999,32,2.0,rf,0.9067810220402439,0.05987156498183399,0.8686445221665751,0.04888613861386139,43.8,0.0
