f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_fired,guard_c,rho_before,rho_after
0.6743589743589744,0.7132295386994606,0.752459313658824,0.9749346449672847,0.14578760393046106,0.23072238419177196,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=aligned | guard,0.645,1,24,2.0,64,2.0,rf,5.46037781047022,0.31965142525732204,2.000588154609494,0.40625,1.5,1.0,1.0,0.929,2.28,2.0
0.8145620022753128,0.8288765176354834,0.8411759372591685,0.9753426417033109,0.10599760281408833,0.1511957314189152,ItalyPowerDemand,0,5,4.7,7,26,guide=gpf | walk=aligned | guard,0.645,1,24,2.0,64,2.0,ridge,5.46037781047022,0.31965142525732204,2.000588154609494,0.40625,1.5,1.0,1.0,0.929,2.28,2.0
0.7903225806451613,0.808125470125646,0.8226800852259848,0.9544365867295282,0.12883836518734476,0.15830579850988014,ItalyPowerDemand,0,5,4.7,7,26,guide=sig | walk=aligned,0.645,1,24,2.0,64,2.0,rf,5.365998090583167,0.33078532469213257,2.4329069891723276,0.40625,0.2,0.0,,,,
0.8117913832199547,0.8264254235032944,0.8382689605149825,0.9768537407256297,0.1064937589557998,0.15560002438788542,ItalyPowerDemand,0,5,4.7,7,26,guide=sig | walk=aligned,0.645,1,24,2.0,64,2.0,ridge,5.365998090583167,0.33078532469213257,2.4329069891723276,0.40625,0.2,0.0,,,,
0.793063583815029,0.8105270369955043,0.8255870619701708,0.9596895447058646,0.1260808228053126,0.16428571428571428,ItalyPowerDemand,0,5,4.7,7,26,guide=sig | walk=aligned | guard,0.645,1,24,2.0,64,2.0,rf,4.623815378363602,0.30503061595180914,2.0058042675957024,0.40625,1.0,1.0,1.0,0.882,2.43,2.01
0.8303571428571429,0.8424296147643948,0.8519141846865225,0.9786066155915197,0.09891973951863056,0.14571657301262203,ItalyPowerDemand,0,5,4.7,7,26,guide=sig | walk=aligned | guard,0.645,1,24,2.0,64,2.0,ridge,4.623815378363602,0.30503061595180914,2.0058042675957024,0.40625,1.0,1.0,1.0,0.882,2.43,2.01
0.5123010130246021,0.5868224420118113,0.6715456276349789,0.9365168411986038,0.21272116402116403,0.26824425008098474,ItalyPowerDemand,0,10,8.2,4,29,none,0.645,1,24,1.5999999999999999,64,2.0,rf,,,,,,,,,,
0.794392523364486,0.8117356273332904,0.8284770388503558,0.9802083805551778,0.11524193348742656,0.1798446176012395,ItalyPowerDemand,0,10,8.2,4,29,none,0.645,1,24,1.5999999999999999,64,2.0,ridge,,,,,,,,,,
0.6683870967741935,0.7084758178626311,0.7495296704293033,0.935151185457183,0.17300471871288198,0.21191124068675088,ItalyPowerDemand,0,10,8.2,4,29,SMOTE-raw,0.645,1,24,1.5999999999999999,64,2.0,rf,2.060643810288269,0.1731985804836731,0.3958209180440669,,,,,,,
0.9049111807732497,0.90887907297309,0.9113683757196609,0.9804199344183023,0.06639217958339388,0.0873786700369499,ItalyPowerDemand,0,10,8.2,4,29,SMOTE-raw,0.645,1,24,1.5999999999999999,64,2.0,ridge,2.060643810288269,0.1731985804836731,0.3958209180440669,,,,,,,
0.7083854818523154,0.7405738399397461,0.7729214832948004,0.9337949740846517,0.15888433214555664,0.18801425332037575,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=plain,0.645,1,24,1.5999999999999999,64,2.0,rf,1.5785834293237393,0.12709993894071858,0.7016129381572627,0.453125,0.0,0.0,,,,
0.9128630705394191,0.9161962163740729,0.9181909878054308,0.9798683832751559,0.06541766566458379,0.08144645812915274,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=plain,0.645,1,24,1.5999999999999999,64,2.0,ridge,1.5785834293237393,0.12709993894071858,0.7016129381572627,0.453125,0.0,0.0,,,,
0.7083854818523154,0.7405738399397461,0.7729214832948004,0.9337949740846517,0.15888433214555664,0.18801425332037575,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=plain | guard,0.645,1,24,1.5999999999999999,64,2.0,rf,1.5785834293237393,0.12709993894071858,0.7016129381572627,0.453125,0.7,1.0,0.0,1.0,0.7,0.7
0.9128630705394191,0.9161962163740729,0.9181909878054308,0.9798683832751559,0.06541766566458379,0.08144645812915274,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=plain | guard,0.645,1,24,1.5999999999999999,64,2.0,ridge,1.5785834293237393,0.12709993894071858,0.7016129381572627,0.453125,0.7,1.0,0.0,1.0,0.7,0.7
0.7350427350427351,0.7622723458874415,0.7885273584477991,0.9422741284736389,0.14271472843105498,0.16689018464528665,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,rf,3.8504750243808683,0.2426863436327822,2.034338133650351,0.453125,0.1,0.0,,,,
0.920997920997921,0.9238541580148304,0.9259599256539282,0.9827281381748947,0.059508634326110955,0.09381967363170214,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.8504750243808683,0.2426863436327822,2.034338133650351,0.453125,0.1,0.0,,,,
0.7359413202933985,0.7630178446924019,0.7894963506958611,0.9432355652265892,0.14219321887485153,0.16662779397473276,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,rf,3.818201007718706,0.24223671837702754,2.000088410041699,0.453125,0.9,1.0,1.0,0.99,2.03,2.0
0.920997920997921,0.9238541580148304,0.9259599256539282,0.9827696933980082,0.059366876386433835,0.09364780122960278,ItalyPowerDemand,0,10,8.2,4,29,guide=gpf | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.818201007718706,0.24223671837702754,2.000088410041699,0.453125,0.9,1.0,1.0,0.99,2.03,2.0
0.7388688327316486,0.7652993481723602,0.7885613581758013,0.9208712996962691,0.15102978080120938,0.16327178490443797,ItalyPowerDemand,0,10,8.2,4,29,guide=sig | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,rf,1.7234862192153653,0.12973156167785227,1.311412663055979,0.453125,0.2,0.0,,,,
0.9113660062565172,0.9148737457785643,0.9172049956933678,0.9798646055276001,0.06307623433506933,0.08203870311860079,ItalyPowerDemand,0,10,8.2,4,29,guide=sig | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,ridge,1.7234862192153653,0.12973156167785227,1.311412663055979,0.453125,0.2,0.0,,,,
0.7388688327316486,0.7652993481723602,0.7885613581758013,0.9208712996962691,0.15102978080120938,0.16327178490443797,ItalyPowerDemand,0,10,8.2,4,29,guide=sig | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,rf,1.7234862192153653,0.12973156167785227,1.311412663055979,0.453125,0.9,1.0,0.0,1.0,1.31,1.31
0.9113660062565172,0.9148737457785643,0.9172049956933678,0.9798646055276001,0.06307623433506933,0.08203870311860079,ItalyPowerDemand,0,10,8.2,4,29,guide=sig | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,ridge,1.7234862192153653,0.12973156167785227,1.311412663055979,0.453125,0.9,1.0,0.0,1.0,1.31,1.31
0.2980132450331126,0.41844784527012,0.5867503059975521,0.9245659368058389,0.23773736097613649,0.28447359896339486,ItalyPowerDemand,0,20,8.2,4,29,none,0.645,1,24,1.5999999999999999,64,2.0,rf,,,,,,,,,,
