f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,energy_syn,mmd_syn,disp_ratio,accept,secs
0.6666666666666666,0.7071067811865476,0.75,0.9946469907407407,0.011190888888888889,0.020955555555555554,ArticularyWordRecognition,2,20,24.0,11,253,none,0.53,9,144,2.0,,,,,
0.7368421052631579,0.7637626158259734,0.7916666666666667,0.9973958333333334,0.009583111111111112,0.014955555555555557,ArticularyWordRecognition,2,20,24.0,11,253,SMOTE-raw,0.53,9,144,2.0,1.6665295566369203,0.19919108242786698,0.4615646671911738,,
0.9090909090909091,0.9128709291752769,0.9166666666666667,0.9994212962962963,0.0056169629629629625,0.013577777777777779,ArticularyWordRecognition,2,20,24.0,11,253,guide=gpf | walk=plain,0.53,9,144,2.0,2.314569242907133,0.13067724022569593,1.7759252770200242,0.8784722222222222,0.3
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9991319444444444,0.004408000000000001,0.017666666666666667,ArticularyWordRecognition,2,20,24.0,11,253,guide=gpf | walk=aligned,0.53,9,144,2.0,1.67437597007965,0.12068067110305569,1.2364070420340876,0.8784722222222222,0.8
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.998119212962963,0.004848333333333333,0.01312222222222222,ArticularyWordRecognition,2,20,24.0,11,253,guide=sig | walk=plain,0.53,9,144,2.0,1.1663606843574286,0.07812386767174084,1.5769047736296238,0.8784722222222222,0.6
0.9565217391304348,0.9574271077563381,0.9583333333333333,0.9992766203703703,0.003845925925925926,0.01682222222222222,ArticularyWordRecognition,2,20,24.0,11,253,guide=sig | walk=aligned,0.53,9,144,2.0,0.9663287452501663,0.07125106448703067,1.6578270841614544,0.8784722222222222,1.1
0.9565217391304348,0.9574271077563381,0.9583333333333333,1.0,0.0038284074074074075,0.021544444444444442,ArticularyWordRecognition,2,20,24.0,11,253,guide=dtw | walk=plain,0.53,9,144,2.0,1.2800559279489025,0.07475587723463528,1.807461339568637,0.98828125,8.1
0.9565217391304348,0.9574271077563381,0.9583333333333333,1.0,0.0038918888888888887,0.018144444444444442,ArticularyWordRecognition,2,20,24.0,11,253,guide=dtw | walk=aligned,0.53,9,144,2.0,1.1781234220173147,0.08401358967427497,1.5461491913429823,0.98828125,8.5
0.8857142857142857,0.9062267870482649,0.909017928819909,0.9909017928819909,0.038832286634460554,0.06910628019323675,Epilepsy,0,5,5.0,20,80,none,0.045,3,206,2.0,,,,,
0.8533333333333334,0.901935005463705,0.9027294621354027,0.9866202836499866,0.04068727858293075,0.04859903381642513,Epilepsy,0,5,5.0,20,80,SMOTE-raw,0.045,3,206,2.0,0.23805924816700208,0.08173127837544525,0.5851523048554492,,
0.8888888888888888,0.9160653958494662,0.9175809472839176,0.9905004013914905,0.0341,0.046038647342995134,Epilepsy,0,5,5.0,20,80,guide=gpf | walk=plain,0.045,3,206,2.0,0.23101021394742882,0.0740665410452841,1.431238282683787,0.625,0.0
0.8974358974358975,0.9432662070040937,0.9432700026759433,0.9905004013914905,0.03704766505636071,0.043381642512077274,Epilepsy,0,5,5.0,20,80,guide=gpf | walk=aligned,0.045,3,206,2.0,0.1503312866680584,0.06057475713960192,1.3058144794827415,0.8333333333333334,0.3
0.918918918918919,0.9442585967651508,0.9446079743109446,0.9906341985549906,0.036023268921095,0.0543236714975845,Epilepsy,0,5,5.0,20,80,guide=sig | walk=plain,0.045,3,206,2.0,0.7909040201694599,0.1603429142311683,2.9033631908597113,0.8333333333333334,0.1
0.8974358974358975,0.9432662070040937,0.9432700026759433,0.9859512978324859,0.0428829307568438,0.05256038647342996,Epilepsy,0,5,5.0,20,80,guide=sig | walk=aligned,0.045,3,206,2.0,0.25234740336689954,0.09669237788139018,2.016873569567924,0.8333333333333334,0.3
0.961038961038961,0.9850365626224086,0.9851485148514851,0.9971902595664973,0.02089001610305958,0.05091787439613529,Epilepsy,0,5,5.0,20,80,guide=dtw | walk=plain,0.045,3,206,2.0,0.922265746289564,0.1658640086058467,3.7857563038860813,0.8333333333333334,2.3
0.9230769230769231,0.9616683389365197,0.9617340112389617,0.9938453304789938,0.03447874396135266,0.053526570048309165,Epilepsy,0,5,5.0,20,80,guide=dtw | walk=aligned,0.045,3,206,2.0,0.34298722357487965,0.12284498654187814,1.4317461463274292,0.8333333333333334,2.5
0.8064516129032258,0.8219949365267865,0.8378378378378378,0.9761841048969762,0.0649073268921095,0.07992753623188405,Epilepsy,0,10,10.0,10,90,none,0.045,3,206,2.0,,,,,
0.8656716417910447,0.8809219876361221,0.8869413968423869,0.9799304254749799,0.05297858293075684,0.04579710144927539,Epilepsy,0,10,10.0,10,90,SMOTE-raw,0.045,3,206,2.0,0.24830455949542674,0.09410482139029086,0.6321906596774564,,
0.8405797101449275,0.8720682756153674,0.877040406743377,0.9882258496119882,0.04347818035426731,0.058816425120772974,Epilepsy,0,10,10.0,10,90,guide=gpf | walk=plain,0.045,3,206,2.0,0.19965207631754622,0.07294352298274431,1.4678513774745832,0.703125,0.0
0.9041095890410958,0.9302688071298884,0.9310944607974311,0.9882258496119882,0.04106352657004831,0.05272946859903382,Epilepsy,0,10,10.0,10,90,guide=gpf | walk=aligned,0.045,3,206,2.0,0.13932202732540988,0.06400722065877285,1.3503284070626818,0.9375,0.3
0.9473684210526315,0.9716340801232448,0.9716350013379716,0.9933101418249933,0.02912536231884058,0.04548309178743962,Epilepsy,0,10,10.0,10,90,guide=sig | walk=plain,0.045,3,206,2.0,0.5392809134444205,0.12055623432497509,2.2632951704132114,0.703125,0.1
0.8974358974358975,0.9432662070040937,0.9432700026759433,0.9826063687449826,0.04332399355877616,0.05507246376811597,Epilepsy,0,10,10.0,10,90,guide=sig | walk=aligned,0.045,3,206,2.0,0.13282931854779734,0.060994193544688824,1.5023529765582975,0.703125,0.4
0.8732394366197183,0.9016382675035555,0.904067433770404,0.9834091517259834,0.04861908212560386,0.05920289855072463,Epilepsy,0,10,10.0,10,90,guide=dtw | walk=plain,0.045,3,206,2.0,0.5456342660334734,0.2262496514332818,0.8625034752607402,0.4017857142857143,4.8
0.8169014084507042,0.8631237491627403,0.8671394166443671,0.9648113459994648,0.0704436392914654,0.05101449275362321,Epilepsy,0,10,10.0,10,90,guide=dtw | walk=aligned,0.045,3,206,2.0,0.9684284474394131,0.3403895238064736,0.723639743507476,0.5625,3.8
0.5660377358490566,0.6335546468146228,0.6977522076531978,0.9178485416109179,0.12248679549114332,0.11840579710144926,Epilepsy,0,20,20.0,5,95,none,0.045,3,206,1.5999999999999999,,,,,
0.6557377049180327,0.7205088440682177,0.7504682900722505,0.9413968423869414,0.10853615136876008,0.10427536231884059,Epilepsy,0,20,20.0,5,95,SMOTE-raw,0.045,3,206,1.5999999999999999,0.6492776996863996,0.24191798216214716,0.550023018071741,,
0.8450704225352113,0.8824395115648317,0.8856034252073857,0.9755151190794755,0.05625644122383253,0.03867149758454107,Epilepsy,0,20,20.0,5,95,guide=gpf | walk=plain,0.045,3,206,1.5999999999999999,1.1392007106587836,0.31754405256166884,2.0570855811734434,0.9895833333333334,0.0
0.8,0.8481117561835346,0.8536259031308536,0.9558469360449559,0.07159863123993558,0.0430193236714976,Epilepsy,0,20,20.0,5,95,guide=gpf | walk=aligned,0.045,3,206,1.5999999999999999,0.5307769571086278,0.16405247472388151,2.406453249915135,0.7421875,0.3
0.8285714285714286,0.8676075390703752,0.8720899116938721,0.9763179020604763,0.05917938808373591,0.06019323671497584,Epilepsy,0,20,20.0,5,95,guide=sig | walk=plain,0.045,3,206,1.5999999999999999,0.43411181056692216,0.13633591090518693,1.980015185695761,0.9895833333333334,0.1
0.8055555555555556,0.8586165447309626,0.8621889215948622,0.9705646240299706,0.06542818035426731,0.06425120772946857,Epilepsy,0,20,20.0,5,95,guide=sig | walk=aligned,0.045,3,206,1.5999999999999999,0.4686195862820344,0.17159950338880636,1.4433413131318757,0.7421875,0.4
0.8059701492537313,0.8414597965694547,0.85001337971635,0.955980733208456,0.07235249597423511,0.054782608695652185,Epilepsy,0,20,20.0,5,95,guide=dtw | walk=plain,0.045,3,206,1.5999999999999999,0.7065366429059767,0.20859553352361182,2.056635233471351,0.7421875,2.6
0.7647058823529411,0.817260937640279,0.8265988761038265,0.939122290607439,0.09166650563607086,0.08917874396135266,Epilepsy,0,20,20.0,5,95,guide=dtw | walk=aligned,0.045,3,206,1.5999999999999999,0.6725695466995543,0.21937973837593094,1.3375463347335885,0.7421875,2.9
0.8059701492537313,0.8414597965694547,0.85001337971635,0.9862188921594861,0.0471194041867955,0.07282608695652176,Epilepsy,1,5,5.0,20,80,none,0.045,3,206,2.0,,,,,
0.8493150684931506,0.8923904510654496,0.8941664436713941,0.9828739630719828,0.04817246376811595,0.061014492753623195,Epilepsy,1,5,5.0,20,80,SMOTE-raw,0.045,3,206,2.0,0.4457728379117265,0.1451678691703454,0.5178748109787022,,
0.918918918918919,0.9442585967651508,0.9446079743109446,0.9943805191329944,0.028265217391304345,0.043236714975845435,Epilepsy,1,5,5.0,20,80,guide=gpf | walk=plain,0.045,3,206,2.0,0.13674279262068856,0.0508680633689208,1.160129226441062,0.8333333333333334,0.0
0.9066666666666666,0.9394285978438609,0.9396574792614396,0.9859512978324859,0.039654186795491146,0.053405797101449305,Epilepsy,1,5,5.0,20,80,guide=gpf | walk=aligned,0.045,3,206,2.0,0.5674641602336385,0.17953381188046946,1.0453389308950525,0.8333333333333334,0.3
0.9041095890410958,0.9302688071298884,0.9310944607974311,0.9906341985549906,0.035183494363929146,0.057512077294686,Epilepsy,1,5,5.0,20,80,guide=sig | walk=plain,0.045,3,206,2.0,0.24847016619850848,0.08484500550031615,1.5558717710255245,0.8333333333333334,0.1
0.8493150684931506,0.8923904510654496,0.8941664436713941,0.9784586566764785,0.05779404186795492,0.07990338164251207,Epilepsy,1,5,5.0,20,80,guide=sig | walk=aligned,0.045,3,206,2.0,0.686173811866067,0.20913077651430645,0.933672344659913,0.8333333333333334,0.3
