dataset,seed,M,L_k,disp_walk,disp_filtered,accept,energy,f1,gmean
Epilepsy,2,0.5,0.25403485082304533,0.15012260862708796,0.1154035112835078,1.0,0.5422184501252791,0.6551724137931034,0.7094680606535458
Epilepsy,2,0.8,0.3713136458798354,0.16823371298242457,0.16418078572249986,1.0,0.49126864084053623,0.6551724137931034,0.7094680606535458
Epilepsy,2,1.1,0.5800286456921812,0.28244101222599843,0.2959600278400774,1.0,0.4254585658649044,0.6440677966101694,0.7058757942262209
Epilepsy,2,1.4,0.8751304282600822,0.47519520231804263,0.4986647437908241,1.0,0.3748790933335202,0.6984126984126984,0.7556760508435947
Epilepsy,2,1.7,1.3073026835835393,0.7765306648084223,0.7944306845402391,1.0,0.3405286096792153,0.782608695652174,0.8328292115342097
Epilepsy,2,2.0,1.9958847736625516,1.2619013978966698,1.1099346933579233,1.0,0.32725479771783905,0.8055555555555556,0.8586165447309626
Epilepsy,2,2.3,3.2369064364971187,2.117181699659105,1.3621244474087268,1.0,0.32901924033899754,0.8055555555555556,0.8586165447309626
Epilepsy,2,2.6,5.845308394087244,3.8396312930644765,1.6371802823974466,1.0,0.33912660671647754,0.821917808219178,0.8732948138806063
RacketSports,0,0.5,0.25403485082304533,0.1858976400395795,0.13819469656143907,0.08645276292335116,6.586099609618875,0.13043478260869565,0.26413527189768715
RacketSports,0,0.8,0.3713136458798354,0.2569803041375829,0.13667240203496303,0.05514496873223423,8.241497049832889,0.1702127659574468,0.30499714066520933
RacketSports,0,1.1,0.5800286456921812,0.42640057976992785,0.14564770842573582,0.051241415742208134,9.686945827799166,0.13043478260869565,0.26413527189768715
RacketSports,0,1.4,0.8751304282600822,0.6811679678876749,0.27114315319763516,0.05107951553449184,8.862913433540195,0.1702127659574468,0.30499714066520933
RacketSports,0,1.7,1.3073026835835393,1.0592987144211383,0.40889923781831383,0.05317982456140351,7.391297918808961,0.1702127659574468,0.30499714066520933
RacketSports,0,2.0,1.9958847736625516,1.6538150825896187,0.6825142208254158,0.08009909165978531,4.962355536770568,0.2909090909090909,0.4233427886545157
RacketSports,0,2.3,3.2369064364971187,2.6858755959773273,0.8556772344785326,0.11035267349260523,4.062633717539173,0.2545454545454545,0.39411068810468003
RacketSports,0,2.6,5.845308394087244,4.712954275825495,1.0035316364507993,0.13324175824175824,3.3612100612194116,0.2962962962962963,0.4253539296119329
RacketSports,1,0.5,0.25403485082304533,0.10975633104318706,0.05312898859153615,0.05749851807943094,8.075826242329708,0.16666666666666666,0.30359484753316857
RacketSports,1,0.8,0.3713136458798354,0.0960476191797748,0.07269678176285785,0.04874371859296482,6.462209740673142,0.1702127659574468,0.30499714066520933
RacketSports,1,1.1,0.5800286456921812,0.15248004258906953,0.09508232535691657,0.04874371859296482,4.823560251043343,0.1702127659574468,0.30499714066520933
RacketSports,1,1.4,0.8751304282600822,0.24027297132805572,0.15999930707046903,0.04874371859296482,4.060702645843904,0.1702127659574468,0.30499714066520933
RacketSports,1,1.7,1.3073026835835393,0.3644283496826877,0.16463552270258178,0.04874371859296482,14.3660472777952,0.1702127659574468,0.30499714066520933
RacketSports,1,2.0,1.9958847736625516,0.5551306293935232,0.31540544089054434,0.04874371859296482,8.654423774771875,0.2,0.3378542716235475
RacketSports,1,2.3,3.2369064364971187,0.8909496317774089,0.2874823060442743,0.04874371859296482,9.445013527829193,0.24,0.3718262324971596
RacketSports,1,2.6,5.845308394087244,1.6039752754134322,0.3167194137147923,0.06938483547925609,9.965997896602815,0.24,0.3718262324971596
RacketSports,2,0.5,0.25403485082304533,0.0796834137450707,0.013795259868244087,0.1735241502683363,3.3160425096519575,0.13043478260869565,0.26413527189768715
RacketSports,2,0.8,0.3713136458798354,0.03317730218670777,0.015920722274131955,0.11814859926918392,3.0702888441550087,0.045454545454545456,0.15249857033260467
RacketSports,2,1.1,0.5800286456921812,0.039915530070960714,0.025139687343980477,0.14499252615844543,2.8840031330222313,0.045454545454545456,0.15249857033260467
RacketSports,2,1.4,0.8751304282600822,0.06329087679384766,0.03743145931575098,0.18908382066276802,2.8225884583769716,0.045454545454545456,0.15249857033260467
RacketSports,2,1.7,1.3073026835835393,0.1016154067517785,0.04736661761628961,0.22146118721461186,2.652166724760999,0.045454545454545456,0.15249857033260467
RacketSports,2,2.0,1.9958847736625516,0.1681272257579672,0.06513657394947997,0.23891625615763548,2.4098208875540497,0.08888888888888889,0.21566554640687682
RacketSports,2,2.3,3.2369064364971187,0.3021031590585188,0.08436039319975565,0.2852941176470588,2.2794336206478913,0.13043478260869565,0.26413527189768715
RacketSports,2,2.6,5.845308394087244,0.6107938155058005,0.10135815172951591,0.31189710610932475,2.1908712477849477,0.1702127659574468,0.30499714066520933
OSULeaf,0,0.5,0.25403485082304533,0.26279831827371974,0.2075648591360761,0.845,2.3195339285123477,0.8615384615384616,0.9112804065534108
OSULeaf,0,0.8,0.3713136458798354,0.29545894815819496,0.2107648913873093,0.7347826086956522,2.470407435466786,0.8787878787878788,0.9274105155461542
OSULeaf,0,1.1,0.5800286456921812,0.4501998421889525,0.2894710583954364,0.7347826086956522,2.2231647722604286,0.8615384615384616,0.9112804065534108
OSULeaf,0,1.4,0.8751304282600822,0.7066426861824079,0.37418132789913355,0.7130801687763713,1.9924769052701592,0.8656716417910447,0.9248869448397515
OSULeaf,0,1.7,1.3073026835835393,1.094651272279246,0.48335716882092045,0.7161016949152542,1.7410042021697407,0.8529411764705882,0.9223564696604214
OSULeaf,0,2.0,1.9958847736625516,1.7085868405878526,0.5890052576744678,0.7071129707112971,1.5499553691611698,0.8656716417910447,0.9248869448397515
OSULeaf,0,2.3,3.2369064364971187,2.7804703411747065,0.7134580173991195,0.6954732510288066,1.4026642432993324,0.8985507246376812,0.9562479061556576
OSULeaf,0,2.6,5.845308394087244,4.876717792470681,0.8420783364156591,0.6983471074380165,1.272589944802375,0.8823529411764706,0.9406981234067837
OSULeaf,1,0.5,0.25403485082304533,0.2991873808090875,0.25386849829319025,0.9234972677595629,3.1870386461350453,0.875,0.9137533565723982
OSULeaf,1,0.8,0.3713136458798354,0.33379068755815006,0.2632819144643277,0.8284313725490197,3.2271527438902172,0.9253731343283582,0.9614591049929391
OSULeaf,1,1.1,0.5800286456921812,0.45524854597565634,0.3139123539621719,0.7824074074074074,3.0197016731235156,0.9253731343283582,0.9614591049929391
OSULeaf,1,1.4,0.8751304282600822,0.6460144269981827,0.4253552812982753,0.7752293577981652,2.5915468731401123,0.9253731343283582,0.9614591049929391
OSULeaf,1,1.7,1.3073026835835393,0.9288961591253846,0.4887422786590736,0.7477876106194691,2.537179857706656,0.9014084507042254,0.9688907028495748
OSULeaf,1,2.0,1.9958847736625516,1.376999492376934,0.5737848094920183,0.7544642857142857,2.4226163145279287,0.8888888888888888,0.9662252488232607
OSULeaf,1,2.3,3.2369064364971187,2.1936235111446525,0.6859191409788554,0.7647058823529411,2.218747046548817,0.8888888888888888,0.9662252488232607
OSULeaf,1,2.6,5.845308394087244,3.998549917507567,0.8099463950721956,0.7824074074074074,2.032170582789945,0.8888888888888888,0.9662252488232607
OSULeaf,2,0.5,0.25403485082304533,0.3008138919379807,0.2588426141180314,0.9602272727272727,2.95035595837226,0.8307692307692308,0.8924245981834769
OSULeaf,2,0.8,0.3713136458798354,0.3344716959780198,0.3015320533159508,0.9712643678160919,2.886456614850193,0.8571428571428571,0.8972879835027834
OSULeaf,2,1.1,0.5800286456921812,0.4619958716988955,0.3872276255219061,0.898936170212766,2.8166734769352466,0.8253968253968254,0.878131772237676
OSULeaf,2,1.4,0.8751304282600822,0.6638969167059416,0.5101001099811696,0.8848167539267016,2.486719786047164,0.8181818181818182,0.8899829394405065
OSULeaf,2,1.7,1.3073026835835393,0.9602821580389569,0.6271016681619932,0.8407960199004975,2.2819321063374094,0.7878787878787878,0.8709436695700544
OSULeaf,2,2.0,1.9958847736625516,1.4188442832232468,0.7340740185221905,0.8203883495145631,2.1701387143512125,0.8115942028985508,0.9013207588042398
OSULeaf,2,2.3,3.2369064364971187,2.224502472625144,0.8532655373557719,0.8086124401913876,2.012290018169473,0.8,0.8988136030191555
OSULeaf,2,2.6,5.845308394087244,3.8911929700182983,0.9592290992678141,0.8009478672985783,1.9107337951232104,0.8169014084507042,0.9147230434906045
GunPoint,0,0.5,0.25403485082304533,0.07972032123843532,0.13921838875852843,0.23809523809523808,3.5460009911040267,0.9130434782608695,0.916515138991168
GunPoint,0,0.8,0.3713136458798354,0.21580416707822844,0.12767206745978282,0.1744186046511628,3.709759352720308,0.8888888888888888,0.8944271909999159
