f1,gmean,bacc,auc,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,energy_syn,disp_ratio,accept,M
1.0,1.0,1.0,1.0,BasicMotions,4,20,7.5,4,26,chain-mean-GPF (PSSTO-style),0.04,0.347981923517223,0.4608141088831361,0.15413271488865737,,
1.0,1.0,1.0,1.0,BasicMotions,4,20,7.5,4,26,KNNOR-GPF (M=1),0.04,0.347981923517223,0.3679230146480623,0.25540031154921444,1.0,1.0
1.0,1.0,1.0,1.0,BasicMotions,4,20,7.5,4,26,KNNOR-GPF (M=3/2),0.04,0.347981923517223,0.3476558332589301,0.4198793977112775,0.7647058823529411,1.5
1.0,1.0,1.0,1.0,BasicMotions,4,20,7.5,4,26,KNNOR-GPF (M calibrated),0.04,0.347981923517223,0.3243825785642591,0.4764766087500948,0.6666666666666666,1.5999999999999999
0.723404255319149,0.752772652709081,0.7833333333333333,0.9782183908045977,JapaneseVowels,0,5,9.3,31,258,none (raw-flat RF),0.839,1.3445553851875616,,,,
0.358974358974359,0.48137733425145235,0.6132183908045977,0.9398275862068967,JapaneseVowels,0,5,9.3,31,258,none,0.839,1.3445553851875616,,,,
0.5866666666666667,0.8216887572512499,0.8270114942528735,0.9476436781609195,JapaneseVowels,0,5,9.3,31,258,SMOTE-raw,0.839,1.3445553851875616,1.7862080286107016,0.507925764800588,,
0.5714285714285714,0.7878385971583354,0.7988505747126436,0.9225862068965517,JapaneseVowels,0,5,9.3,31,258,KNNOR-raw (M=1),0.839,1.3445553851875616,2.9576776482354887,0.2965262645355449,1.0,
0.42857142857142855,0.5448821448021012,0.6448275862068965,0.9382758620689655,JapaneseVowels,0,5,9.3,31,258,chain-mean-GPF (PSSTO-style),0.839,1.3445553851875616,1.780479006744919,0.47163522965350235,,
0.41025641025641024,0.5155066696336543,0.6316091954022989,0.9495977011494253,JapaneseVowels,0,5,9.3,31,258,KNNOR-GPF (M=1),0.839,1.3445553851875616,3.441837073760368,0.13405595274023585,0.07977736549165121,1.0
0.4878048780487805,0.5763539780776888,0.6649425287356322,0.9491954022988506,JapaneseVowels,0,5,9.3,31,258,KNNOR-GPF (M=3/2),0.839,1.3445553851875616,2.7742170516908047,0.28873298585910734,0.09648466716529544,1.5
0.64,0.7252427259161259,0.7597701149425287,0.9474137931034483,JapaneseVowels,0,5,9.3,31,258,KNNOR-GPF (M calibrated),0.839,1.3445553851875616,1.973866173071542,0.5789841599427911,0.19471698113207547,2.1999999999999997
0.6956521739130435,0.7302967433402214,0.7666666666666666,0.978735632183908,JapaneseVowels,0,10,10.0,29,260,none (raw-flat RF),0.839,1.3191630382843655,,,,
0.32432432432432434,0.4464418717230567,0.5982758620689655,0.9362643678160919,JapaneseVowels,0,10,10.0,29,260,none,0.839,1.3191630382843655,,,,
0.5569620253164557,0.8155105586467706,0.8201149425287356,0.9193103448275862,JapaneseVowels,0,10,10.0,29,260,SMOTE-raw,0.839,1.3191630382843655,1.401458585073609,0.527551782000634,,
0.5,0.7731113434850683,0.7816091954022988,0.889080459770115,JapaneseVowels,0,10,10.0,29,260,KNNOR-raw (M=1),0.839,1.3191630382843655,3.6711131817594627,0.24743536878107328,1.0,
0.4186046511627907,0.5439320444370944,0.6431034482758621,0.9266666666666666,JapaneseVowels,0,10,10.0,29,260,chain-mean-GPF (PSSTO-style),0.839,1.3191630382843655,1.5976186135343262,0.546161663559434,,
0.41025641025641024,0.5155066696336543,0.6316091954022989,0.9256896551724139,JapaneseVowels,0,10,10.0,29,260,KNNOR-GPF (M=1),0.839,1.3191630382843655,3.346217491328744,0.23520669777507247,0.0645641917059846,1.0
0.4,0.5146140167221416,0.6298850574712643,0.9263218390804597,JapaneseVowels,0,10,10.0,29,260,KNNOR-GPF (M=3/2),0.839,1.3191630382843655,3.2318584307435394,0.5253327117968609,0.05684302579798863,1.5
0.4090909090909091,0.5429802816004431,0.6413793103448275,0.9259195402298851,JapaneseVowels,0,10,10.0,29,260,KNNOR-GPF (M calibrated),0.839,1.3191630382843655,2.123229441970544,0.6747528824441265,0.11270047680970958,2.0
0.18181818181818182,0.31622776601683794,0.55,0.9502873563218391,JapaneseVowels,0,20,20.6,14,275,none (raw-flat RF),0.839,2.842043478486019,,,,
0.2857142857142857,0.408248290463863,0.5833333333333334,0.861551724137931,JapaneseVowels,0,20,20.6,14,275,none,0.839,2.842043478486019,,,,
0.4,0.6125131947910212,0.6689655172413793,0.8635632183908046,JapaneseVowels,0,20,20.6,14,275,SMOTE-raw,0.839,2.842043478486019,1.387913636789122,0.5016449613817565,,
0.32142857142857145,0.5314261878223996,0.6206896551724138,0.8524712643678162,JapaneseVowels,0,20,20.6,14,275,KNNOR-raw (M=1),0.839,2.842043478486019,1.9054172682703943,0.47881305071945973,1.0,
0.3684210526315789,0.48221233459149915,0.6149425287356322,0.8804597701149425,JapaneseVowels,0,20,20.6,14,275,chain-mean-GPF (PSSTO-style),0.839,2.842043478486019,2.037965881108452,0.44397937767439394,,
0.3783783783783784,0.48304589153964794,0.6166666666666667,0.8674137931034483,JapaneseVowels,0,20,20.6,14,275,KNNOR-GPF (M=1),0.839,2.842043478486019,10.42057833794507,2.3626572552426617e-30,0.04954954954954955,1.0
0.3333333333333333,0.4472135954999579,0.6,0.8673563218390804,JapaneseVowels,0,20,20.6,14,275,KNNOR-GPF (M=3/2),0.839,2.842043478486019,11.913678883410867,0.0034973880710870006,0.04954954954954955,1.5
0.4444444444444444,0.572351471472339,0.6580459770114943,0.8510919540229885,JapaneseVowels,0,20,20.6,14,275,KNNOR-GPF (M calibrated),0.839,2.842043478486019,4.518186598986102,0.1833377624592565,0.06730298580518845,2.4
0.76,0.7828813612588127,0.8064516129032258,0.9997209509989954,JapaneseVowels,1,5,9.7,30,260,none (raw-flat RF),0.839,1.7950690608974469,,,,
0.32558139534883723,0.4710623797320681,0.6042527067753097,0.8503739256613462,JapaneseVowels,1,5,9.7,30,260,none,0.839,1.7950690608974469,,,,
0.4536082474226804,0.7756478880045163,0.778714142203371,0.8724746065409086,JapaneseVowels,1,5,9.7,30,260,SMOTE-raw,0.839,1.7950690608974469,1.2200444001525064,0.5484107648878993,,
0.38202247191011235,0.6859943405700354,0.7032592923317335,0.8440674182386427,JapaneseVowels,1,5,9.7,30,260,KNNOR-raw (M=1),0.839,1.7950690608974469,2.033907260115523,0.3157473694089637,0.9885931558935361,
0.39215686274509803,0.5580489988532434,0.6439892845183615,0.8785578747628083,JapaneseVowels,1,5,9.7,30,260,chain-mean-GPF (PSSTO-style),0.839,1.7950690608974469,1.5708508348188737,0.4747706860590583,,
0.4583333333333333,0.5894674003292282,0.6670387320013395,0.882687799977676,JapaneseVowels,1,5,9.7,30,260,KNNOR-GPF (M=1),0.839,1.7950690608974469,2.7957117692648765,0.15684790639375662,0.049523809523809526,1.0
0.44,0.5873807835144578,0.6635785243888828,0.876046433753767,JapaneseVowels,1,5,9.7,30,260,KNNOR-GPF (M=3/2),0.839,1.7950690608974469,2.6501330835576873,0.2863945775948,0.049523809523809526,1.5
0.5245901639344263,0.7008039966838477,0.7338430628418351,0.8764371023551737,JapaneseVowels,1,5,9.7,30,260,KNNOR-GPF (M calibrated),0.839,1.7950690608974469,1.6713456396243203,0.6000649672737454,0.11550422034651266,2.1999999999999997
0.76,0.7828813612588127,0.8064516129032258,0.9995535215983927,JapaneseVowels,1,10,10.0,29,261,none (raw-flat RF),0.839,1.771546814552714,,,,
0.34146341463414637,0.47271814012629637,0.6077129143877664,0.8499832570599397,JapaneseVowels,1,10,10.0,29,261,none,0.839,1.771546814552714,,,,
0.4631578947368421,0.778807362948982,0.7821743498158277,0.873479182944525,JapaneseVowels,1,10,10.0,29,261,SMOTE-raw,0.839,1.771546814552714,1.0729891067309723,0.5166629188500242,,
0.4175824175824176,0.7252251768198795,0.7355173568478626,0.8608661680991182,JapaneseVowels,1,10,10.0,29,261,KNNOR-raw (M=1),0.839,1.771546814552714,1.767866788233917,0.326113076477101,0.9923954372623575,
0.35294117647058826,0.528462146426194,0.6261301484540686,0.8741489005469361,JapaneseVowels,1,10,10.0,29,261,chain-mean-GPF (PSSTO-style),0.839,1.771546814552714,1.4600438834686287,0.5246638173121362,,
0.3829787234042553,0.5322504540344197,0.633050563678982,0.8751534769505526,JapaneseVowels,1,10,10.0,29,261,KNNOR-GPF (M=1),0.839,1.771546814552714,2.854759216267553,0.1512865911307456,0.06062717770034843,1.0
0.40816326530612246,0.5600456027227996,0.6474494921308181,0.88598057818953,JapaneseVowels,1,10,10.0,29,261,KNNOR-GPF (M=3/2),0.839,1.771546814552714,2.594999514293338,0.22459333824426603,0.08950617283950617,1.5
