f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,n_feat,n_channels,length,energy_syn,mmd_syn,disp_ratio,accept,M
0.463768115942029,0.6947185997362443,0.7256161385479113,0.9002759539442382,0.06658897897897897,0.07901801801801801,JapaneseVowels,1,10,10.0,24,216,KNNOR-official-raw (randmx=1),0.85,1.4668149240436463,64.0,12.0,29.0,4.640467296872792,0.262823194794573,0.31457294650087936,1.0,1.0
0.5573770491803278,0.7261938467741152,0.7550195070891617,0.9227328956132839,0.05659816816816818,0.06188288288288288,JapaneseVowels,1,10,10.0,24,216,hybrid GPF-nbrs/raw-walk (M raw-calibrated),0.85,1.4668149240436463,64.0,12.0,29.0,8.335988788484823,0.18860765116031952,2.6837157276600974,0.2109375,1.7999999999999998
0.3684210526315789,0.47519096331149147,0.6129032258064516,0.9587020648967551,0.04462273273273274,0.03330630630630631,JapaneseVowels,1,20,20.0,12,228,none (raw-flat RF),0.85,3.324083231072894,,,,,,,,
0.17142857142857143,0.31062634136676054,0.5469121705205062,0.9113141117137693,0.05167894894894895,0.02613513513513513,JapaneseVowels,1,20,20.0,12,228,none,0.85,3.324083231072894,64.0,12.0,29.0,,,,,
0.5925925925925926,0.710965189456219,0.7477400323532211,0.8811970691787991,0.05657123123123123,0.05504504504504505,JapaneseVowels,1,20,20.0,12,228,SMOTE-raw,0.85,3.324083231072894,64.0,12.0,29.0,1.9307031111290378,0.06780374588963578,0.5442139995218425,,
0.3902439024390244,0.506499764668353,0.6260824055571415,0.9133599771624322,0.04967270270270271,0.024639639639639638,JapaneseVowels,1,20,20.0,12,228,chain-mean-GPF (PSSTO-style),0.85,3.324083231072894,64.0,12.0,29.0,2.7936869425017257,0.12347352138025647,0.40180595739288494,,
0.2702702702702703,0.4010168823356012,0.5791702350366352,0.9238271957369873,0.049646906906906915,0.03183783783783784,JapaneseVowels,1,20,20.0,12,228,KNNOR-GPF (M=1),0.85,3.324083231072894,64.0,12.0,29.0,13.708823461623954,0.6826681047109949,0.06177030493469196,0.04945770065075922,1.0
0.2702702702702703,0.4010168823356012,0.5791702350366352,0.9138357598249118,0.05118855855855855,0.034351351351351346,JapaneseVowels,1,20,20.0,12,228,KNNOR-GPF (M calibrated),0.85,3.324083231072894,64.0,12.0,29.0,11.964099680866273,0.4634440641202435,0.31557108957223023,0.15240641711229946,2.0
0.3333333333333333,0.47237915777796174,0.6070035207917023,0.9179274907222381,0.05016546546546548,0.02882882882882883,JapaneseVowels,1,20,20.0,12,228,hybrid GPF-nbrs/raw-walk (M calibrated),0.85,3.324083231072894,64.0,12.0,29.0,29.181185094609095,0.3888361115874458,4.637279933913433,0.35625,2.0
0.358974358974359,0.4744895740534575,0.6114282995527642,0.9110286421162812,0.04862396396396397,0.0336036036036036,JapaneseVowels,1,20,20.0,12,228,KNNOR-official-GPF (randmx=1),0.85,3.324083231072894,64.0,12.0,29.0,14.051901448001647,0.514366320017307,0.27479128867406394,0.24542518837459634,1.0
